,year,artist,song,points
435,2017,Axwell & Ingrosso Featuring Kid Ink,I Love You,3750
436,2017,Calvin Harris Featuring Rihanna,This Is What You Came For,3756
437,2017,"Calvin Harris Featuring Young Thug, Pharrell Williams & Ariana Grande",Heatstroke,3757
438,2017,Jax Jones Featuring Demi Lovato & Stefflon Don,Instruction,3766
439,2017,Gryffin And ILLENIUM Featuring Daya,Feel Good,3768
440,2017,The Chainsmokers,Young,3800
441,2017,DVBBS X CMC$ Featuring Gia Koka,Not Going Home,3818
442,2017,Avicii Featuring Sandro Cavazza,Without You,3831
443,2017,Robin Schulz Featuring James Blunt,OK,3859
444,2017,Cash Cash Featuring Conor Maynard,All My Love,3888
445,2017,San Holo,Light,3889
446,2017,Alan Walker Featuring Gavin James,Tired,3896
447,2017,Alan Walker,Alone,3915
448,2017,NEIKED Featuring Dyo,Sexual,3916
449,2017,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go,3916
450,2017,Robin Schulz & David Guetta & Cheat Codes,Shed A Light,3938
451,2017,Marshmello,Find Me,3948
452,2017,ODESZA Featuring WYNNE & Mansionair,Line Of Sight,3966
453,2017,"Alok, Bruno Martini, Zeeba",Hear Me Now,3967
454,2017,Alesso,Falling,3976
455,2017,Ahrix,Nova,3987
456,2017,ODESZA Featuring Naomi Wild,Higher Ground,4012
457,2017,Gorillaz Featuring D.R.A.M.,Andromeda,4053
458,2017,Sigala. & Ella Eyre,Came Here For Love,4070
459,2017,The Chainsmokers Featuring XYLO,Setting Fires,4083
460,2017,Marshmello Featuring Wrabel,Ritual,4104
461,2017,Jonas Blue Featuring RAYE,By Your Side,4114
462,2017,Dimitri Vegas & Like Mike vs. David Guetta Featuring Kiiara,Complicated,4119
463,2017,Sigma Featuring Birdy,Find Me,4158
464,2017,The Chainsmokers Featuring Emily Warren,My Type,4180
465,2017,Kygo Featuring Justin Jesso,Stargazing,4193
466,2017,Dillon Francis Featuring G-Eazy,Say Less,4196
467,2017,DJ Snake Featuring Lauv,A Different Way,4208
468,2017,ILLENIUM Featuring Annika Wells,Crawl Outta Love,4218
469,2017,Calvin Harris,My Way,4219
470,2017,Grey Featuring Bahari,I Miss You,4234
