,year,artist,song,points,duration
359,2016,Ro James,Permission,2633,187.585
360,2016,Rihanna,Sex With Me,2666,206.4
361,2016,Drake,Controlla,2737,245.226
362,2016,Beyonce,Formation,2754,206.08
363,2016,Jeremih,Oui,2807,238.32
364,2016,Beyonce,Hold Up,2873,221.093
365,2016,Andra Day,Rise Up,2879,253.342
366,2016,Tory Lanez,Luv,2965,228.64
367,2016,Chris Brown,Grass Ain't Greener,3007,201.421
368,2016,Snakehips Featuring Tinashe & Chance The Rapper,All My Friends,3178,229.746
369,2016,Rihanna,Desperado,3237,186.466
370,2016,Usher Featuring Young Thug,No Limit,3278,245.386
371,2016,Beyonce,Sorry,3347,206.049
372,2016,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",Do You Mind,3390,325.614
373,2016,Drake Featuring PARTYNEXTDOOR,With You,3421,252.12
374,2016,Rihanna,Kiss It Better,3431,253.08
375,2016,Bryson Tiller,Exchange,3457,194.613
376,2016,Chris Brown,Back To Sleep,3469,201.253
377,2016,Bryson Tiller,Don't,3491,198.293
378,2016,Alessia Cara,Here,3606,242.484
379,2016,Dreezy Featuring Jeremih,Body,3624,162.546
380,2016,The Weeknd,In The Night,3709,235.653
381,2016,Alicia Keys,In Common,3727,209.05
382,2016,Bryson Tiller,Sorry Not Sorry,3727,206.049
383,2016,Tory Lanez,Say It,3733,237.786
384,2016,Mike WiLL Made-It x Rihanna,Nothing Is Promised,3786,170.751
385,2016,The Weeknd,The Hills,3790,242.253
386,2016,Kehlani,Gangsta,3797,240.693
387,2016,The Weeknd,Acquainted,3818,348.853
388,2016,The Weeknd Featuring Daft Punk,Starboy,3957,230.453
389,2016,Kehlani,CRZY,4039,191.72
390,2016,PARTYNEXTDOOR,Not Nice,4107,202.661
391,2016,Bryson Tiller,Right My Wrongs,4124,249.32
392,2016,Kanye West,Fade,4155,295.6
393,2016,Lloyd,Tru,4194,167.534
394,2016,Bryson Tiller,Let 'Em Know,4257,261.88
395,2016,Maxwell,Lake By The Ocean,4274,238.986
396,2016,Rihanna Featuring SZA,Consideration,4281,161.066
397,2016,Rihanna,"Yeah, I Said It",4297,133.08
398,2016,Ghost Town DJ's,My Boo,4310,223.44
399,2016,The Weeknd,False Alarm,4316,220.306
400,2016,John Legend,Love Me Now,4330,210.293
401,2016,Zendaya Featuring Chris Brown,Something New,4384,195.08
402,2016,DJ Mustard Featuring Nicki Minaj & Jeremih,Don't Hurt Me,4466,140.017
403,2016,Kirk Franklin,Wanna Be Happy?,4514,265.893
404,2016,Nelly Featuring Jeremih,The Fix,4519,173.045
405,2016,Ayo Jay,Your Number,4540,204.081
406,2016,Beyonce Featuring The Weeknd,6 Inch,4563,260.44
407,2016,Solange,Cranes In The Sky,4566,250.973
408,2016,Bryson Tiller,Been That Way,4576,199.32
409,2016,Tinashe Featuring Chris Brown,Player,4650,139.56
410,2016,Mary J. Blige,Thick Of It,4679,241.92
411,2016,Bryson Tiller,Rambo,4694,223.48
412,2016,Usher Featuring Future,Rivals,4700,229.773
413,2016,Bryson Tiller,Overtime,4704,142.32
414,2016,Frank Ocean,Ivy,4747,249.191
415,2016,Chris Brown Featuring Solo Lucci,Wrist,4756,205.733
416,2016,Solange Featuring Sampha,Don't Touch My Hair,4766,257.546
417,2016,The Weeknd,Tell Your Friends,4776,334.333
418,2016,blackbear,idfc,4777,245.172
419,2016,Yuna Featuring Usher,Crush,4789,165.589
420,2016,Frank Ocean,Nikes,4825,164.631
421,2016,Beyonce Featuring Jack White,Don't Hurt Yourself,4830,233.666
422,2016,Bryson Tiller,Let Me Explain,4834,223.969
423,2016,Chris Brown,Little More (Royalty),4837,260.453
424,2016,Frank Ocean,Pink + White,4838,184.516
425,2016,Drake,Summers Over Interlude,4842,106.333
