,year,artist,song,points,duration
34,1958,Doris Day,Everybody Loves A Lover,4389,160.466
35,1958,Jimmie Rodgers,Are You Really Mine,4391,148.533
36,1958,Clyde McPhatter,A Lover's Question,4393,150.266
37,1958,Buddy Knox with the Rhythm Orchids,Somebody Touched Me,4406,178.52
38,1958,Connie Francis,Stupid Cupid,4407,133.746
39,1958,Kalin Twins,Forget Me Not,4408,284.506
40,1958,Dion & The Belmonts,No One Knows,4410,278.706
41,1958,The Four Esquires,Hideaway,4443,148.906
42,1958,Sam Cooke,Win Your Love For Me,4454,167.773
43,1958,The Playmates,Beep Beep,4456,212.773
44,1958,The Royaltones,Poor Boy,4475,248.511
45,1958,Tony Bennett,Firefly,4478,187.573
46,1958,Harvey & The Moonglows,Ten Commandments Of Love,4482,229.066
47,1958,Frankie Avalon,Ginger Bread,4482,125.152
48,1958,Dean Martin,Volare (Nel Blu Dipinto Di Blu),4488,150.226
49,1958,Donnie Owens,Need You,4489,277.573
50,1958,Elvis Presley,I Got Stung,4497,109.413
51,1958,The Johnny Otis Show,Willie And The Hand Jive,4506,155.469
52,1958,Bobby Hendricks,Itchy Twitchy Feeling,4516,143.426
53,1958,Elvis Presley,One Night,4519,195.909
54,1958,Frankie Avalon,I'll Wait For You,4548,247.32
55,1958,The Everly Brothers,Problems,4579,207.533
56,1958,Gordon MacRae,The Secret,4582,283.785
57,1958,Tommy Edwards,Love Is All We Need,4583,254.6
58,1958,Andy Williams,"Promise Me, Love",4587,75.483
59,1958,Kalin Twins,When,4589,240.76
60,1958,Eileen Rodgers,Treasure Of Your Love,4591,219.56
61,1958,The Quin-Tones,Down The Aisle Of Love,4597,170.906
62,1958,Duane Eddy His Twangy Guitar And The Rebels,Rebel-'rouser,4602,153.933
63,1958,Jimmy Clanton,A Letter To An Angel,4616,174.413
64,1958,Pat Boone,For My Good Fortune,4642,237.824
65,1958,Chuck Berry,Carol,4642,209.64
66,1958,Duane Eddy His Twangy Guitar And The Rebels,Cannonball,4646,213.693
67,1958,Pat Boone,If Dreams Came True,4648,162.306
68,1958,Marty Robbins,She Was Only Seventeen (He Was One Year More),4650,140.866
69,1958,Bobby Darin,Splish Splash,4670,131.719
70,1958,The Four Preps,Lazy Summer Night,4678,136.493
71,1958,Jimmie Rodgers,Bimbombey,4686,137.6
72,1958,The Danleers,One Summer Night,4693,133.226
73,1958,Cozy Cole,Topsy I,4694,194.759
74,1958,Pat Boone,I'll Remember Tonight,4715,252.106
75,1958,The Diamonds,Walking Along,4724,86.138
76,1958,The Platters,Smoke Gets In Your Eyes,4724,160.933
77,1958,The Jamies,"Summertime, Summertime",4726,206.613
78,1958,Johnny Mathis,A Certain Smile,4729,126.669
79,1958,The Four Coins,The World Outside,4739,226.6
80,1958,Elvis Presley With The Jordanaires,Hard Headed Woman,4743,226.973
81,1958,Perry Como,Moon Talk,4743,184.5
82,1958,Louis Prima And Keely Smith,That Old Black Magic,4747,128.128
83,1958,Fats Domino,Whole Lotta Loving,4754,100.48
84,1958,Dale Hawkins,La-Do-Dada,4766,286.328
85,1958,Les Paul And Mary Ford,Put A Ring On My Finger,4774,234.945
86,1958,Billy Vaughn And His Orchestra,La Paloma,4775,237.744
87,1958,Jack Scott,With Your Love,4780,216.24
88,1958,The Rinky-Dinks,Early In The Morning,4785,101.739
89,1958,Patti Page,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),4786,208.065
90,1958,Johnny Cash And The Tennessee Two,The Ways Of A Woman In Love,4791,96.906
91,1958,Nat King Cole,Non Dimenticar (Don't Forget),4798,185.773
92,1958,Bobby Day,Over And Over,4800,253.933
93,1958,Nat King Cole,Come Closer To Me (Acercate Mas),4808,168.826
94,1958,The Four Lads,The Mocking Bird,4812,305.785
95,1958,Raymond Lefevre and His Orchestra,The Day The Rains Came,4814,151.666
96,1958,The Coasters,Yakety Yak,4817,116.026
97,1958,Ruth Brown,This Little Girl's Gone Rockin',4818,108.293
98,1958,Perry Como,Love Makes The World Go 'round,4819,152.466
99,1958,The Five Blobs,The Blob,4826,159.933
100,1959,Bobby Darin,Mack The Knife,3506,184.333
101,1959,Johnny Horton,The Battle Of New Orleans,3520,151.506
102,1959,"Carl Dobkins, Jr.",My Heart Is An Open Book,3643,130.093
103,1959,The Fleetwoods,Mr. Blue,3742,303.373
104,1959,Jerry Wallace With The Jewels,Primrose Lane,3782,143.435
105,1959,Lloyd Price and His Orchestra,Personality,3787,169.626
106,1959,Paul Anka,Put Your Head On My Shoulder,3795,154.733
107,1959,Ritchie Valens,Donna,3830,185.973
108,1959,Andy Williams,The Hawaiian Wedding Song (Ke Kali Nei Au),3843,181.333
109,1959,Lloyd Price,Stagger Lee,3852,144.626
110,1959,Dodie Stevens,Pink Shoe Laces,3862,159.56
111,1959,Dinah Washington,What A Diff'rence A Day Makes,3864,270.533
112,1959,The Browns,The Three Bells,3865,169.573
113,1959,The Drifters,There Goes My Baby,3891,281.293
114,1959,Phil Phillips With The Twilights,Sea Of Love,3894,139.466
115,1959,Bobby Darin,Dream Lover,3899,150.706
116,1959,Frankie Avalon,Venus,3903,229.164
117,1959,Paul Anka,Lonely Boy,3909,193.653
118,1959,"Dave ""Baby"" Cortez",The Happy Organ,3931,125.2
119,1959,Santo & Johnny,Sleep Walk,3932,145.333
120,1959,Sammy Turner,Lavender-Blue,3938,197.64
121,1959,Brook Benton,It's Just A Matter Of Time,3948,235.92
122,1959,Thomas Wayne With the Delons,Tragedy,3960,303.333
123,1959,Johnny And The Hurricanes,Red River Rock,3960,138.24
124,1959,The Everly Brothers,('til) I Kissed You,3964,144.533
125,1959,Connie Francis,Lipstick On Your Collar,3971,139.613
126,1959,LaVern Baker,I Cried A Tear,3975,155.853
127,1959,Tony Bellus,Robbin' The Cradle,3984,209.48
128,1959,Della Reese,Don't You Know,3986,200.686
129,1959,The Crests,16 Candles,3996,174.64
130,1959,The Impalas,Sorry (I Ran All The Way Home),3998,149.666
131,1959,The Fleetwoods,Come Softly To Me,4016,144.933
132,1959,Ray Anthony and His Orchestra,Peter Gunn,4029,150.866
133,1959,The Coasters,Charlie Brown,4037,285.159
134,1959,Andy Williams,Lonely Street,4040,152.533
135,1959,Sandy Nelson,Teen Beat,4044,125.0
136,1959,The Virtues,Guitar Boogie Shuffle,4047,156.8
137,1959,Wilbert Harrison,Kansas City,4052,244.426
138,1959,Sarah Vaughan,Broken-Hearted Melody,4056,146.36
139,1959,The Exotic Sounds of Martin Denny,Quiet Village,4062,199.453
140,1959,Dion & The Belmonts,A Teenager In Love,4067,158.253
141,1959,Wink Martindale,Deck Of Cards,4078,209.084
142,1959,Stonewall Jackson,Waterloo,4091,168.96
143,1959,Ricky Nelson,Never Be Anyone Else But You,4099,136.266
144,1959,Lloyd Price,I'm Gonna Get Married,4106,140.8
145,1959,The Coasters,Poison Ivy,4106,95.985
146,1959,The Falcons,You're So Fine,4114,173.133
147,1959,Jackie Wilson,Lonely Teardrops,4117,166.213
148,1959,Floyd Robinson,Makin' Love,4139,219.671
149,1959,Bill Parsons,The All American Boy,4140,236.916
150,1959,Elvis Presley With The Jordanaires,(Now and Then There's) A Fool Such As I,4143,159.36
151,1959,Ernie Fields & Orch.,In The Mood,4144,216.746
152,1959,The Bell Notes,I've Had It,4145,166.091
153,1959,The Skyliners,Since I Don't Have You,4154,259.906
154,1959,Paul Evans and the Curls,(Seven Little Girls) Sitting In The Back Seat,4154,135.453
155,1959,Connie Francis,Frankie,4161,197.146
156,1959,The Fiestas,So Fine,4162,130.927
157,1959,Frankie Avalon,Just Ask Your Heart,4165,150.909
158,1959,Elvis Presley With The Jordanaires,A Big Hunk O' Love,4169,129.399
159,1959,Franck Pourcel's French Fiddles,Only You,4171,195.506
